id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
exp-1,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000204,0.014685,98.6,4665,4869,9,8,8,7,8,"Router response is accurate and includes helpful code examples, but the benchmark is more concise and better emphasizes practical use cases.",""
exp-2,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000159,0.021885,99.3,3722,6161,8,6,7,5,6,"Router covers core differences accurately but lacks concrete examples of declaration merging and doesn't clearly explain what types can do that interfaces cannot, making it less actionable than the benchmark.",""
exp-3,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000198,0.026265,99.2,4850,6054,9,7,9,7,8,"Router response is accurate and well-explained with good examples, but misses critical limitations of JSON.stringify as a cache key that the benchmark explicitly addresses.",""
edit-1,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000129,0.013425,99.0,1384,2174,10,10,10,10,10,"Router response is identical to benchmark—all three occurrences of 'x' correctly renamed to 'count' with no errors or omissions.",""
edit-2,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000180,0.020430,99.1,2638,3228,10,10,9,9,9,"Router response is functionally correct and complete with proper JSDoc format; slightly more verbose description than benchmark but equally valid and clear.",""
edit-3,simple_edit,simple_edit,2,openai/gpt-4o-mini,mid,0.000131,0.012210,98.9,1390,2158,9,7,8,6,7,"Router's code works correctly but uses `let` for `age` based on speculative future reassignment rather than actual code behavior, while benchmark correctly identifies all variables as immutable and uses `const` throughout.",""
ui-1,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000206,0.038355,99.5,3235,5767,8,6,7,5,6,"Router response works correctly but lacks disabled state handling, accessibility refinements, secondary variant styling clarity, and className extension support that the benchmark provides.",""
ui-2,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000134,0.015000,99.1,1560,2905,10,10,9,9,9,"Router response is functionally identical and correct, with only minor stylistic differences (single vs double quotes, comment presence) that don't affect quality.",""
ui-3,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000120,0.017760,99.3,1763,2941,9,7,8,7,7,"Router response correctly implements hover and focus styles but omits transition smoothing and focus ring offset, which are important for polish and accessibility.",""
test-1,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000343,0.045720,99.2,5665,6067,8,7,6,6,7,"Router covers essential cases but includes a test for non-number size that the function doesn't actually validate, lacks organization with describe blocks, and misses the size=1 edge case that benchmark includes.",""
test-2,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000367,0.086535,99.6,6355,10030,7,6,8,5,6,"Router covers basic cases well with clean structure, but misses important valid email patterns (plus addressing, dots, numbers, hyphens), lacks TLD validation, missing non-string type checks, and doesn't test length limits or dot edge cases that benchmark includes.",""
test-3,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000268,0.048165,99.4,4181,6495,7,6,7,6,6,"Router covers main scenarios but misses edge cases (null, empty string), lacks proper mock cleanup, missing import statement, and doesn't verify fetch call arguments.",""
bug-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000157,0.017385,99.1,1417,3162,10,10,10,9,9,"Router provides the correct fix with clear explanation, but slightly less precise about the edge case behavior (doesn't mention that reduce throws on empty arrays without initial value).",""
bug-2,local_bug_fix,local_bug_fix,4,google/gemini-2.5-pro,strong,0.004674,0.024465,80.9,5404,5025,10,10,9,9,9,"Router solution is functionally identical and correct, with only minor stylistic differences (variable naming 'pending' vs 'mutex') that don't affect quality.",""
bug-3,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000173,0.019575,99.1,1607,4779,10,9,9,9,9,"Router correctly identifies the bug and provides a working fix with proper explanation; slightly less detailed guidance on alternative use cases compared to benchmark.",""
bug-4,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000159,0.020415,99.2,1473,4128,10,9,9,9,9,"Router provides the correct fix with clear explanation, but lacks the concrete example that would make the bug more obvious to readers.",""
api-1,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000284,0.035265,99.2,4413,4877,8,7,7,6,7,"Router response works correctly but adds unnecessary authentication middleware, uses parse() instead of safeParse(), and handles errors inline rather than delegating to middleware, making it less flexible than the benchmark.",""
api-2,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000290,0.044610,99.3,4366,9150,8,7,7,6,7,"Router response works correctly and handles the core requirement, but lacks Fastify schema validation, TypeScript interfaces, and uses a less efficient data structure than the benchmark.",""
api-3,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000240,0.035325,99.3,3892,6051,8,7,8,7,7,"Router response correctly implements Zod validation with proper error handling and 201 status, but uses parse() instead of safeParse(), lacks schema completeness (missing optional fields, constraints), and has less detailed error formatting than benchmark.",""
sec-1,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.013455,0.089205,84.9,4357,13035,6,4,7,3,5,"Router implementation has a fundamental flaw: bcrypt.compare is already timing-safe, so the additional timingSafeEqual comparison on a boolean is ineffective and misleading; it also lacks protection against user enumeration attacks and missing critical helper functions like hashPassword.",""
sec-2,security_sensitive_change,api_implementation,5,google/gemini-2.5-pro,strong,0.008910,0.068985,87.1,2780,9935,6,5,7,4,5,"Router response works for basic token rotation but lacks refresh token generation, JTI uniqueness, proper claim preservation, environment validation, and security best practices present in benchmark.",""
sec-3,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.015690,0.089775,82.5,5845,12000,6,4,7,3,5,"Router uses a third-party library (csurf) which works but lacks session binding, token expiry, timing-safe comparison, and proper logging that the benchmark's custom implementation provides; tests are also incomplete and don't properly validate token flow.",""
sec-4,security_sensitive_change,security_sensitive_change,5,google/gemini-2.5-pro,strong,0.017520,0.089595,80.4,6065,12586,9,7,8,6,7,"Router implementation is cryptographically sound and functional, but uses password-based derivation instead of environment-managed keys, lacks input validation rigor, and doesn't prevent timing/oracle attacks like the benchmark does.",""
db-1,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.008180,0.079695,89.7,2811,14116,6,4,5,3,4,"Router's single-step approach causes full table lock during 50M-row backfill, risking downtime; benchmark's batched, non-blocking strategy is production-grade for large tables.",""
db-2,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.008590,0.027000,68.2,3424,5686,6,4,5,3,4,"Router response has critical flaws: wraps CONCURRENTLY in transaction (breaks it), deletes data without validation, and misses the key requirement that migration tools must disable transaction wrapping for CONCURRENTLY to work.",""
db-3,database_schema_change,database_schema_change,5,google/gemini-2.5-pro,strong,0.010380,0.053235,80.5,3868,10897,6,5,7,4,5,"Router's approach works but drops the name column immediately, creating a risky single-step migration that cannot safely rollback if the app still reads 'name'; benchmark's two-phase approach is superior for production safety.",""
ref-1,multi_file_refactor,multi_file_refactor,5,google/gemini-2.5-pro,strong,0.017559,0.081015,78.3,12056,10791,7,6,7,6,6,"Router response uses a class-based approach with good structure but is incomplete (cut off mid-register), lacks environment validation, and doesn't follow the benchmark's functional decomposition pattern which is more modular and testable.",""
ref-2,multi_file_refactor,multi_file_refactor,3,google/gemini-2.5-pro,strong,0.008040,0.080595,90.0,2667,10715,6,4,5,3,4,"Router provides a valid refactoring plan but lacks concrete implementation details, omits barrel exports, doesn't rename service classes, and shows incomplete file content with vague ellipses instead of actual code.",""
arch-1,architecture_design,architecture_design,4,google/gemini-2.5-pro,strong,0.013655,0.082860,83.5,6322,16326,7,6,7,5,6,"Router provides solid architectural thinking with three valid approaches and good failure mode analysis, but lacks concrete code abstractions, doesn't probe critical requirements (throughput/latency), and the response is incomplete (cuts off mid-sentence).",""
arch-2,architecture_design,architecture_design,5,google/gemini-2.5-pro,strong,0.012915,0.083655,84.6,9607,20920,7,6,8,5,6,"Router provides sound architectural advice with good structure, but lacks the specificity, concrete diagrams, and critical questioning that make the benchmark response more actionable for decision-making.",""
rewrite-1,prompt_rewrite_only,prompt_rewrite_only,1,openai/gpt-4o-mini,mid,0.000052,0.010425,99.5,925,4001,9,7,9,6,7,"Router achieves clarity and brevity but omits output expectations that would guide the LLM's response format, making it less complete than the benchmark.",""
edge-1,local_bug_fix,explanation,1,openai/gpt-4o-mini,mid,0.000186,0.026565,99.3,4683,7725,2,3,5,1,2,"Router provides fundamentally incorrect diagnosis (claiming sort is inherently slow and unstable), misses actual performance issues, and offers vague non-solutions instead of practical debugging steps.",""